subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0124	1	(6,40]	62	273	335	313	313	299	14	313	0	0
subsample_0125	1	[0,2]	155	30	185	0	0	0	0	0	0	0
subsample_0125	1	(2,6]	111	383	494	3	3	3	0	3	0	0
subsample_0125	1	(6,40]	51	277	328	356	356	330	26	356	0	0
subsample_0126	1	[0,2]	98	25	123	0	0	0	0	0	0	0
subsample_0126	1	(2,6]	79	203	282	2	2	2	0	2	0	0
subsample_0126	1	(6,40]	68	387	455	333	333	316	17	333	0	0
subsample_0127	1	[0,2]	88	7	95	1	1	1	0	1	0	0
subsample_0127	1	(2,6]	52	144	196	7	7	7	0	7	0	0
subsample_0127	1	(6,40]	62	227	289	369	369	343	26	369	0	0
subsample_0128	1	[0,2]	132	22	154	2	2	2	0	2	0	0
subsample_0128	1	(2,6]	70	228	298	10	10	10	0	10	0	0
subsample_0128	1	(6,40]	48	288	336	294	294	252	42	294	0	0
subsample_0129	1	[0,2]	138	10	148	2	2	2	0	2	0	0
subsample_0129	1	(2,6]	66	130	196	2	2	2	0	2	0	0
